cosine_t0,cosine_t_mult,decay_rate,horizontal_flip,lora,lora_dropout,lora_rank,lr,onecycle_div_factor,onecycle_final_div_factor,onecycle_pct_start,patience_epochs,poly_power,random_rotate,sched,step_size,vertical_flip,weight_decay,num_samples,default_resolution,num_channels,num_classes,dataset,cost,epoch_0_iou,epoch_1_iou,epoch_2_iou,epoch_3_iou,epoch_4_iou,epoch_5_iou,epoch_6_iou,epoch_7_iou,epoch_8_iou,epoch_9_iou
3,2,0.1,0,1,0.1,16,0.005,10,20,0.06,1,1.0,1,plateau,3,1,0.0,489,"(288, 384)",3,1,polyp,134.03771495819092,0.07265787544311024,0.0,0.03492841187835438,0.029867002807441166,0.08605074945953675,0.038020306773250925,0.03387697182479314,0.0468611562915612,0.058300390545082334,0.0579094527181951
3,2,0.5,1,0,0.0,4,1.5e-05,50,1000,0.1,0,1.0,0,cosine_warm,5,1,0.0,633,"(464, 449)",3,3,US,144.44587540626526,0.8075139671564102,0.8236807078123093,0.826092466711998,0.8492329210042954,0.8386518567800522,0.847290787100792,0.855168691277504,0.8552282273769378,0.8576990574598312,0.8665511548519135
2,1,0.5,0,1,0.0,8,6e-05,65,320,0.085,2,0.9,1,onecycle,3,0,5e-05,489,"(288, 384)",3,1,polyp,122.28675770759583,0.7915615141391754,0.7920905642211438,0.7906773684546351,0.7998070452362299,0.8055369917303323,0.8001704916357995,0.8049705563113093,0.8119367973878979,0.8122985102236271,0.8117588745430112
2,1,0.1,1,1,0.0,4,2.5e-05,100,320,0.035,0,0.9,1,plateau,5,0,0.0001,470,"(1600, 1200)",3,1,leaf,134.41722178459167,0.5423827394843102,0.5856016702950001,0.6172258161008358,0.6105434097349643,0.6257857669144868,0.6232186393812299,0.6228096151724458,0.622842463105917,0.6228437907993793,0.6228437095880508
2,2,0.8,1,0,0.0,16,0.00048,80,80,0.03,1,0.9,1,poly,5,0,0.0,14164,"(600, 400)",3,12,human_parsing,210.24775195121765,0.8210126250982285,0.8084150731563569,0.8316929668188096,0.8412158578634262,0.8278710782527924,0.8494838654994965,0.8441347509622574,0.8503452390432358,0.8645477414131164,0.8628421276807785
2,2,0.5,1,1,0.1,16,1.2e-05,20,10,0.075,0,0.5,0,onecycle,3,1,0.0,633,"(464, 449)",3,3,US,164.3090226650238,0.7635230869054794,0.818079486489296,0.8406249612569809,0.846268504858017,0.8443915694952011,0.8544703513383866,0.8509890288114548,0.8514670670032501,0.8533204108476639,0.8533992111682892
3,1,0.1,0,1,0.0,4,0.004,65,80,0.08,0,1.0,0,cosine_warm,5,0,5e-05,900,"(767, 1022)",3,1,lesion,144.87202668190002,0.44269977454096077,0.7823522463440895,0.8108445294201374,0.741222120076418,0.798380446434021,0.8000098645687104,0.7674662329256534,0.7963794976472854,0.8154369711875915,0.8209843233227729
3,1,0.1,1,0,0.0,8,0.006,10,80,0.065,0,1.0,0,cosine,5,0,0.0,898,"(900, 1600)",3,0,golf,124.2394552230835,0.0,0.0,3.3439674348301195e-05,3.903716271906888e-05,4.3678872316377236e-06,0.012663588667055591,0.00024356358590011952,0.006964814319508151,0.00424289251677692,0.0015319827642088057
5,2,0.1,1,1,0.0,8,0.001,25,160,0.03,1,0.5,1,onecycle,5,0,0.0001,6464,"(480, 854)",3,9,cholec,169.51542901992798,0.10591046847403049,0.1465229509398341,0.15276328921318055,0.15683113876730204,0.14969517812132835,0.16988649889826773,0.17614447735249997,0.1968071810901165,0.2075302131474018,0.20044176131486893
3,2,0.5,0,1,0.0,8,6.5e-05,40,160,0.08,2,0.9,0,plateau,3,1,5e-05,900,"(767, 1022)",3,1,lesion,140.25525426864624,0.9150327801704407,0.9138504713773727,0.9083856135606766,0.918259596824646,0.9151580452919006,0.9200013160705567,0.9192487746477127,0.9201160490512847,0.9171468108892441,0.9135548084974289
2,2,0.8,1,0,0.0,16,6.5e-05,10,160,0.04,1,0.5,0,plateau,3,0,5e-05,14164,"(600, 400)",3,12,human_parsing,202.13191151618958,0.8710745811462403,0.8572419583797455,0.8651059657335282,0.8702825307846069,0.8706846207380294,0.8689053267240524,0.8699067592620849,0.8707606196403503,0.872245517373085,0.8741232633590699
5,1,0.5,0,1,0.0,4,0.00025,40,40,0.035,1,0.5,0,step,5,1,5e-05,480,"(1080, 1920)",3,3,terrain,190.32139086723328,0.3380475502461195,0.45299423299729824,0.44362344443798063,0.44935114234685897,0.4701017878949642,0.4727156974375248,0.5353672198951245,0.4908368416130543,0.5343459051102399,0.5289990963414312
5,2,0.5,0,0,0.0,8,0.001,10,1000,0.08,0,0.5,0,onecycle,5,0,5e-05,6321,"(374, 280)",1,1,fiber,128.52752876281738,0.21738293170928955,0.24430304020643234,0.2705380514264107,0.27993197217583654,0.2860960468649864,0.286769400537014,0.2967026121914387,0.2915628619492054,0.2985684104263783,0.29866675063967707
5,2,0.8,0,1,0.1,8,3.5e-05,50,640,0.06,1,0.9,1,cosine,3,1,1e-05,633,"(464, 449)",3,3,US,162.50933980941772,0.82061165869236,0.8563001096248627,0.842590743303299,0.8594573020935059,0.8641167044639587,0.8665234982967377,0.8725275874137879,0.8663113683462143,0.8658377587795257,0.8695152968168258
5,2,0.1,0,1,0.0,16,0.004,80,1000,0.095,1,0.5,1,plateau,5,0,5e-05,489,"(288, 384)",3,1,polyp,124.43272948265076,0.0002611490410345141,0.047797305644780866,0.05362089429982007,0.05517509930650703,0.1464935533469543,0.10989008609467418,0.046656827011611314,0.0918972570087135,0.09664827292544942,0.09833536976693721
5,2,0.8,1,1,0.1,16,0.007,100,320,0.055,0,0.9,1,step,3,1,0.0,633,"(464, 449)",3,3,US,160.1872718334198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.8,0,0,0.0,8,0.0004,100,40,0.035,2,0.9,0,cosine,5,0,0.0001,900,"(767, 1022)",3,1,lesion,121.03032565116882,0.8904232412576676,0.8724745661020279,0.9078704416751862,0.9060614585876465,0.8919406861066819,0.9054583966732025,0.8952081143856049,0.9074523508548736,0.9084738194942474,0.9078825414180756
2,2,0.1,0,1,0.1,4,2e-05,50,1000,0.045,1,0.9,1,step,5,0,1e-05,6321,"(374, 280)",1,1,fiber,130.46358108520508,0.14418853521347047,0.19503246769309043,0.21336085423827172,0.21288966611027718,0.2198788993060589,0.22744907215237617,0.22223882228136063,0.22288558706641198,0.2198779620230198,0.21997758224606515
3,2,0.5,0,0,0.1,4,0.00025,10,160,0.03,1,1.0,0,cosine,3,1,0.0001,898,"(900, 1600)",3,0,golf,127.9959032535553,0.4035608146339655,0.45295155309140683,0.4879528909921646,0.444040660187602,0.4872705603018403,0.583830938115716,0.5685477033257484,0.5887032091617584,0.6165872149169445,0.5939386136829853
2,2,0.8,1,1,0.0,16,0.00012,65,320,0.03,1,0.5,1,cosine,3,0,0.0001,6464,"(480, 854)",3,9,cholec,156.62657737731934,0.16319138333201408,0.19947271719574927,0.21461427994072438,0.2097593430429697,0.24634876251220703,0.2515408378094435,0.2530975237488747,0.2541439276188612,0.2521192476153374,0.25916501097381117
5,1,0.1,0,0,0.1,8,0.007,65,320,0.035,0,0.9,1,cosine_warm,3,0,0.0,898,"(900, 1600)",3,0,golf,126.50171279907227,0.0,6.145719726191601e-05,1.2003422853013035e-05,0.006121058775170241,0.00021314287441782654,0.0,0.00030766450236114907,0.001529747263793979,9.447974175600394e-05,9.92258954738645e-05
3,2,0.8,0,0,0.1,16,0.00012,20,10,0.07,0,0.9,0,onecycle,3,0,0.0001,524,"(1232, 1624)",3,1,eyes,151.86647748947144,0.3297083579003811,0.35744051858782766,0.32089866548776624,0.3133710831403732,0.37653138041496276,0.365592584758997,0.3682414345443249,0.37433905713260174,0.3767773240804672,0.37691420689225197
3,2,0.8,0,0,0.0,8,1e-05,25,80,0.04,1,1.0,0,onecycle,3,0,5e-05,489,"(288, 384)",3,1,polyp,104.14739394187927,0.7822941545397043,0.7940277624875307,0.7971751257777214,0.7988110009580851,0.799309216439724,0.7997151030227542,0.800038206204772,0.7999966779723764,0.8000335033982993,0.8000686760991812
2,2,0.1,1,1,0.0,4,0.007,10,80,0.05,1,0.9,0,cosine_warm,5,0,1e-05,480,"(1080, 1920)",3,3,terrain,188.2291579246521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.5,0,0,0.1,8,0.007,50,1000,0.065,2,0.9,1,poly,5,1,5e-05,109,"(1500, 1500)",3,1,building,173.5451855659485,0.0,0.2254481814801693,0.20163435861468315,0.09239387568086385,0.2387872539460659,0.22673610039055347,0.2038109041750431,0.18572356477379798,0.237155169993639,0.22022907324135305
2,2,0.1,0,0,0.1,4,0.007,15,40,0.09,1,1.0,0,onecycle,5,1,0.0001,109,"(1500, 1500)",3,1,building,166.72919964790344,0.07041661874391139,0.1593847269192338,0.17893772069364786,0.18673443645238877,0.23609956540167332,0.23817112296819687,0.2329301569610834,0.22945049926638603,0.24193833097815515,0.2417707983404398
2,2,0.8,0,1,0.1,4,1e-05,50,20,0.1,1,0.5,1,poly,3,1,0.0,6321,"(374, 280)",1,1,fiber,129.59261298179626,0.051535050268284976,0.169558260217309,0.18817593678832054,0.1859284296631813,0.19257879257202148,0.1976565234363079,0.2137805111706257,0.19824119359254838,0.18344975486397744,0.1998048521578312
5,1,0.8,1,1,0.0,4,6e-05,80,20,0.05,1,0.5,1,step,3,1,5e-05,900,"(767, 1022)",3,1,lesion,143.1726632118225,0.9124748677015304,0.9146760076284408,0.9079563051462174,0.9034227222204209,0.9161594331264495,0.9206522881984711,0.9138776987791062,0.9172286301851272,0.9175730556249618,0.9210158109664917
5,2,0.1,1,0,0.0,4,0.00018,80,40,0.1,1,0.9,0,poly,5,1,0.0001,6321,"(374, 280)",1,1,fiber,111.664381980896,0.2150462582707405,0.21691983044147492,0.26452606469392775,0.23247003704309463,0.2722813688218594,0.28034164309501647,0.2818481527268887,0.28554747849702833,0.28760625794529915,0.28953955620527266
